CA,s,t,p,a
121874712.87136984,0,20,2,0
0.0,0,20,2,1
0.0,0,20,2,2
0.0,1,20,0,0
155599469.5452055,1,20,0,1
0.0,1,20,0,2
67329155.46136987,1,20,1,0
2865436.6986301243,1,20,1,1
0.0,1,20,1,2
121874712.87136984,1,20,2,0
0.0,1,20,2,1
0.0,1,20,2,2
0.0,2,20,0,0
33633018.07123288,2,20,0,1
0.0,2,20,0,2
28784141.70849312,2,20,1,0
120405042.61150688,2,20,1,1
0.0,2,20,1,2
135982609.74958906,2,20,2,0
0.0,2,20,2,1
0.0,2,20,2,2
0.0,0,21,0,0
169607975.42465752,0,21,0,1
0.0,0,21,0,2
4587041.14849315,0,21,1,0
71927118.33150685,0,21,1,1
0.0,0,21,1,2
206209090.51876712,0,21,2,0
0.0,0,21,2,1
400000000.0,0,21,2,2
0.0,1,21,0,0
169607975.42465752,1,21,0,1
0.0,1,21,0,2
4587041.14849315,1,21,1,0
71927118.33150685,1,21,1,1
0.0,1,21,1,2
206209090.51876712,1,21,2,0
0.0,1,21,2,1
400000000.0,1,21,2,2
0.0,2,21,0,0
37135144.17534247,2,21,0,1
0.0,2,21,0,2
0.0,2,21,1,0
161828319.39999998,2,21,1,1
0.0,2,21,1,2
235233248.54191783,2,21,2,0
46998475.74191776,2,21,2,1
400000000.0,2,21,2,2
26272255.257534217,0,22,0,0
158464906.24383563,0,22,0,1
0.0,0,22,0,2
83339292.08,0,22,1,0
0.0,0,22,1,1
0.0,0,22,1,2
79592320.99520546,0,22,2,0
0.0,0,22,2,1
0.0,0,22,2,2
26272255.257534217,1,22,0,0
158464906.24383563,1,22,0,1
0.0,1,22,0,2
83339292.08,1,22,1,0
0.0,1,22,1,1
0.0,1,22,1,2
79592320.99520546,1,22,2,0
0.0,1,22,2,1
0.0,1,22,2,2
0.0,2,22,0,0
40917440.81643836,2,22,0,1
0.0,2,22,0,2
62357965.173698604,2,22,1,0
113120619.86630139,2,22,1,1
0.0,2,22,1,2
102408786.28438357,2,22,2,0
0.0,2,22,2,1
0.0,2,22,2,2
0.0,0,23,0,0
201076682.230137,0,23,0,1
0.0,0,23,0,2
50252024.11397261,0,23,1,0
40458411.52602738,0,23,1,1
0.0,0,23,1,2
160544107.55328768,0,23,2,0
0.0,0,23,2,1
400000000.0,0,23,2,2
0.0,1,23,0,0
201076682.230137,1,23,0,1
0.0,1,23,0,2
50252024.11397261,1,23,1,0
40458411.52602738,1,23,1,1
0.0,1,23,1,2
160544107.55328768,1,23,2,0
0.0,1,23,2,1
400000000.0,1,23,2,2
0.0,2,23,0,0
45002320.87671233,2,23,0,1
0.0,2,23,0,2
0.0,2,23,1,0
190220871.71999997,2,23,1,1
0.0,2,23,1,2
235233248.54191783,2,23,2,0
10738746.72054796,2,23,2,1
400000000.0,2,23,2,2
60258458.00273971,0,24,0,0
158464906.24383563,0,24,0,1
0.0,0,24,0,2
98671270.71999998,0,24,1,0
0.0,0,24,1,1
0.0,0,24,1,2
30274139.61,0,24,2,0
0.0,0,24,2,1
0.0,0,24,2,2
60258458.00273971,1,24,0,0
158464906.24383563,1,24,0,1
0.0,1,24,0,2
98671270.71999998,1,24,1,0
0.0,1,24,1,1
0.0,1,24,1,2
30274139.61,1,24,2,0
0.0,1,24,2,1
0.0,1,24,2,2
0.0,2,24,0,0
49413991.38082192,2,24,0,1
0.0,2,24,0,2
101518471.69808218,2,24,1,0
104624069.30191779,2,24,1,1
0.0,2,24,1,2
63248279.76,2,24,2,0
0.0,2,24,2,1
0.0,2,24,2,2
